Type,Name,Rev,New Name,New Rev,Policy,State,Vault,Owner,description,clau,Designated User,CUSSignatureJD,CUSSignatureSH2,CUSSignatureSH,Access Type,Checkin Reason,Language,Is Version Object,Move Files To Version,Suspend Versioning,Title,Originator,CUSSignatureGYDate,CUSSignatureBZH,CUSSignatureGY,CUSSignatureBZHDate,CUSSignatureBZ,CUSSignatureBZDate,CUSSignaturePZ,CUSSignatureJD2,CUSSignatureJDDate,CUSSignatureJD2Date,CUSSignatureSH2Date,CUSSignatureSHDate,CUSSignaturePZDate,Version,ZTEDocCatagory,File Version,Version Date,Primary Key,Secondary Keys,CAD Type,ZTEResponsiblePerson,ZTEResponsibleDepartment
ZTENEWTZD,41625100804066,1,41625100804066,1,Version,Exists,eService Production,xie.xiongfeng,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-05-0174-2021关于罗马尼亚二代6129BEVBF3-M008采购动力电池延长线和助力泵高压三相线缆的技术通知-20210628.docx,xie.xiongfeng,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-24-0027-2021,0,P-24-0027-2021,0,Document Release,RELEASED,eService Production,zhao.rubang,关于香港金莎车6128BEVCF-M009高压模块图纸及BOM清单下发的通知,FALSE,Unassigned,,,zhong.yunbing,Inherited,,English,False,False,False,6128BEVCF-M009,zhao.rubang,,,,,zhao.rubang,2021/03/01,meng.shuxing,,,,,2021/03/02,2021/03/02,,04GYDQ,,,,,,,
ZTENEWTZD,251614587100801,1,251614587100801,1,Version,Exists,eService Production,zhao.rubang,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-24-0027-2021 关于香港金莎车6128BEVCF-M009高压模块图纸及BOM清单下发的通知20210301.docx,zhao.rubang,,,,,,,,,,,,,,,04GYDQ,,,,,,,
ZTENEWTZD,P-24-0028-2021,0,P-24-0028-2021,0,Document Release,RELEASED,eService Production,jiang.zexin,关于6128BEVCF-M009车型底盘模块图纸和BOM清单的发放通知,FALSE,Unassigned,,,lv.weiyong,Inherited,,English,False,False,False,6128BEVCF-M009,jiang.zexin,,,,,jiang.zexin,2021/03/01,yao.cheng,,,,,2021/03/02,2021/03/02,,03DP,,,,,,,
ZTENEWTZD,341614592128597,1,341614592128597,1,Version,Exists,eService Production,Test Everything,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,QR020106-002-B0-技术变更通知单.docx,Test Everything,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,351614592475937,1,351614592475937,1,Version,Exists,eService Production,Test Everything,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,QR020104-043-B0-产品实施通知单.docx,Test Everything,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,331614591731098,1,331614591731098,1,Version,Exists,eService Production,Test Everything,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,QR020104-015-B0-技术通知单.doc,Test Everything,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,91614576941166,1,91614576941166,1,Version,Exists,eService Production,yu.zhenshan,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0112-2021关于6127BEVBF-L064增加采购STOP牌的通知.docx,yu.zhenshan,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,TP2021022496052,0,TP2021022496052,0,Document Release,IN_WORK,eService Production,liu.yubi,充电座、新能源远程监控系统的调整,FALSE,Unassigned,,,,Inherited,,English,False,False,False,充电座、新能源远程监控系统的调整,liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,101614582383533,1,101614582383533,1,Version,Exists,eService Production,liu.yubi,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,PO生效通知单 （金莎1台）V1（变更：充电座、新能源远程监控系统）.xls,liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,221614586254471,1,221614586254471,1,Version,Exists,eService Production,li.hua,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,QR020104-015-B0-技术通知单.doc,li.hua,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,51614561762625,1,51614561762625,1,Version,Exists,eService Production,xu.qiang,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0115-2021关于6857BEVB-L068深巴标识总成升版及重新采购车外标识一套的变更通知单.docx,xu.qiang,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-06-0108-2021,0,P-06-0108-2021,0,Document Release,RELEASED,eService Production,yihang.cai,关于100台珠海公交订单车增加踏板胶垫的通知,FALSE,Unassigned,yang.ping,,guo.hui,Inherited,,English,False,False,False,6127BEVB1-L043 6127BEVB1-L056 6107BEVB1-L058 6107BEVB1-L059 6859BEVB3-L046 6859BEVB3-L057,yihang.cai,,,,,yihang.cai,2021/02/25,yao.cheng,,2021/02/25,,,2021/02/26,2021/03/01,,02CS,,,,,,,
ZTENEWTZD,421614159333689,1,421614159333689,1,Version,Exists,eService Production,zhao.rubang,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-24-0022-2021 关于6107BEVB3-M003 改制车高压模块图纸及BOM清单下发的通知20210224.docx,zhao.rubang,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-13-0040-2021,0,P-13-0040-2021,0,Document Release,IN_WORK,eService Production,peng.jiang,关于618.24V604AH_373.41KWh国标双枪充电动力电池系统技术协议,FALSE,Unassigned,,,,Inherited,,English,False,False,False,6128BEVCF-M009,peng.jiang,,,,,,,,,,,,,,,04GYDQ,,,,,,,
ZTENEWTZD,P-06-0116-2021,0,P-06-0116-2021,0,Document Release,RELEASED,eService Production,guo.qingfeng,关于6555BEVB-L074车型前轮罩封板变更的通知,FALSE,Unassigned,su.xuanhao,,guo.hui,Inherited,,English,False,False,False,6555BEVB-L074车型,guo.qingfeng,,,,,guo.qingfeng,2021/03/01,yao.cheng,,2021/03/01,,,2021/03/01,2021/03/02,,02CS,,,,,,,
ZTENEWTZD,P-06-0117-2021,0,P-06-0117-2021,0,Document Release,RELEASED,eService Production,si.kai,关于6126BEVBS-5101200-L070双层车项目楼梯骨架总成图纸固化的通知,FALSE,Unassigned,su.xuanhao,,guo.hui,Inherited,,English,False,False,False,6126BEVBS-L070,si.kai,,,,,si.kai,2021/03/01,yao.cheng,,2021/03/01,,,2021/03/02,2021/03/02,,02CS,,,,,,,
ZTENEWTZD,61614128085303,1,61614128085303,1,Version,Exists,eService Production,guo.qingfeng,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0097-2021 关于6129BEVBF1-L072车外封板变更的通知.docx,guo.qingfeng,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-05-0052-2021,0,P-05-0052-2021,0,Document Release,RELEASED,eService Production,chen.longzhen,关于作业指导书发放的技术通知,FALSE,Unassigned,,,dong.xu,Inherited,,English,False,False,False,6129BEVBF-L012,chen.longzhen,,,,,chen.longzhen,2021/03/01,liu.guohao,,,,,2021/03/01,2021/03/02,,06GY,,,,,,,
ZTENEWTZD,P-24-0026-2021,0,P-24-0026-2021,0,Document Release,RELEASED,eService Production,shi.xiaojie,关于6107BEVB3-M003改制车底盘模块图纸及BOM清单下发的通知,FALSE,Unassigned,,,lv.weiyong,Inherited,,English,False,False,False,6107BEVB3-M003,shi.xiaojie,,,,,shi.xiaojie,2021/03/01,yao.cheng,,,,,2021/03/01,2021/03/01,,03DP,,,,,,,
ZTENEWTZD,121614583055804,1,121614583055804,1,Version,Exists,eService Production,shi.xiaojie,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-24-0026-2021关于6107BEVB3-M003改制车底盘模块图纸及BOM清单下发的通知.docx,shi.xiaojie,,,,,,,,,,,,,,,03DP,,,,,,,
ZTENEWTZD,TP2021022401213-2,0,TP2021022401213-2,0,Document Release,IN_WORK,eService Production,liu.yubi,后门监控图像等4项的变更,FALSE,Unassigned,,,,Inherited,,English,False,False,False,后门监控图像等4项的变更,liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,21614645986635,1,21614645986635,1,Version,Exists,eService Production,liu.yubi,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,"GTZ6859BEVB3纯电动城市客车PO单（50台）(L0298-L0346,L0241)V5.xlsx",liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,TP2021022401213-5,0,TP2021022401213-5,0,Document Release,IN_WORK,eService Production,liu.yubi,后门监控图像等4项的变更,FALSE,Unassigned,,,,Inherited,,English,False,False,False,后门监控图像等4项的变更,liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,61614646410350,1,61614646410350,1,Version,Exists,eService Production,liu.yubi,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,GTZ6127BEVB1纯电动城市客车PO单（39台）（(L0249-L0286、L0239)）V5.xlsx,liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,81614646509225,1,81614646509225,1,Version,Exists,eService Production,lin.jiawei,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,关于香港金沙项目车6128BEVCF-M009低压模块下发的通知.docx,lin.jiawei,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-06-0119-2021,0,P-06-0119-2021,0,Document Release,RELEASED,eService Production,teng.wenjie,关于6127BEVBF-L064香港车工房增加门铃的通知,FALSE,Unassigned,yang.ping,,guo.hui,Inherited,,English,False,False,False,6127BEVBF-L064,teng.wenjie,,,,,teng.wenjie,2021/03/02,yao.cheng,,2021/03/02,,,2021/03/03,2021/03/03,,02CS,,,,,,,
ZTENEWTZD,TP2021022401213-3,0,TP2021022401213-3,0,Document Release,IN_WORK,eService Production,liu.yubi,后门监控图像等4项的变更,FALSE,Unassigned,,,,Inherited,,English,False,False,False,PO单,liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,31614646206500,1,31614646206500,1,Version,Exists,eService Production,liu.yubi,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,GTZ6107BEVB1纯电动城市客车PO单（7台座位41+1）（L0287-L0293）V5.xlsx,liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,TP2021022401213-7,0,TP2021022401213-7,0,Document Release,IN_WORK,eService Production,liu.yubi,后门监控图像等4项的变更,FALSE,Unassigned,,,,Inherited,,English,False,False,False,后门监控图像等4项的变更,liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,101614646546592,1,101614646546592,1,Version,Exists,eService Production,liu.yubi,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,GTZ6127BEVB1纯电动城市客车PO单（39台）（(L0249-L0286、L0239)）V5.xlsx,liu.yubi,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,441614159856896,1,441614159856896,1,Version,Exists,eService Production,wang.xinzheng,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,关于6128BEVCF-S2M009（1台）大件BOM发布的通知.docx,wang.xinzheng,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,DOC-0001907,0,DOC-0001907,0,Document Release,FROZEN,eService Production,zou.kailang,5307-00090雨刮系统下属物料清单,FALSE,Unassigned,,,,Inherited,,English,False,False,False,5307-00090雨刮系统,zou.kailang,,,,,,,,,,,,,,,02CS,,,,,,,
ZTENEWTZD,P-06-0107-2021,0,P-06-0107-2021,0,Document Release,RELEASED,eService Production,su.xuanhao,关于6129BEVBF1-L072匈牙利车地板骨架变更的通知,FALSE,Unassigned,chen.yukai,,guo.hui,Inherited,,English,False,False,False,6129BEVBF1-L072,su.xuanhao,,,,,su.xuanhao,2021/02/25,yao.cheng,,2021/02/25,,,2021/02/25,2021/02/25,,02CS,,,,,,,
ZTENEWTZD,11614213749237,1,11614213749237,1,Version,Exists,eService Production,guo.qingfeng,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0102-2021 关于6107BEVB3-M003顶盖骨架变更的通知.docx,guo.qingfeng,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-06-0103-2021,0,P-06-0103-2021,0,Document Release,RELEASED,eService Production,teng.wenjie,关于6859BEVB3-L057投币机位置变动的通知,FALSE,Unassigned,yang.ping,,guo.hui,Inherited,,English,False,False,False,6859BEVB3-L057,teng.wenjie,,,,,teng.wenjie,2021/02/26,yao.cheng,,2021/02/26,,,2021/02/26,2021/03/01,,02CS,,,,,,,
ZTENEWTZD,P-06-0104-2021,0,P-06-0104-2021,0,Document Release,RELEASED,eService Production,li.baiyang,关于6107BEVB3-M003样车车外封板变更的通知,FALSE,Unassigned,guo.qingfeng,,guo.hui,Inherited,,English,False,False,False,6107BEVB3-M003,li.baiyang,,,,,li.baiyang,2021/02/25,yao.cheng,,2021/02/25,,,2021/02/26,2021/02/26,,02CS,,,,,,,
ZTENEWTZD,71614220123176,1,71614220123176,1,Version,Exists,eService Production,li.baiyang,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,关于6107BEVB3-M003样车车外封板变更的通知.docx,li.baiyang,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-24-0023-2021,0,P-24-0023-2021,0,Document Release,RELEASED,eService Production,wang.xinzheng,关于6128BEVCF-S2M009（1台）大件BOM发布的通知,FALSE,Unassigned,,,zhang.lijiang,Inherited,,English,False,False,False,6128BEVCF-S2M009,wang.xinzheng,,,,,wang.xinzheng,2021/02/24,yao.cheng,,,,,2021/02/25,2021/02/25,,01TY,,,,,,,
ZTENEWTZD,201614148089050,1,201614148089050,1,Version,Exists,eService Production,chen.yukai,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,6127BEVBF-5401-L064LSGZT左侧围骨架总成临时改制图(1)2021.02.23.dwg,chen.yukai,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-06-0105-2021,0,P-06-0105-2021,0,Document Release,RELEASED,eService Production,yang.ping,关于6118BEVC1-L066（L067）广州订单增加中顶板压条,FALSE,Unassigned,yihang.cai,,guo.hui,Inherited,,English,False,False,False,6118BEVC1-L066（L067）,yang.ping,,,,,yang.ping,2021/02/24,yao.cheng,,2021/02/24,,,2021/02/25,2021/02/25,,02CS,,,,,,,
ZTENEWTZD,DOC-0001990,0,DOC-0001990,0,Document Release,IN_WORK,eService Production,li.wei,,FALSE,Unassigned,,,,Inherited,,English,False,False,False,DOC-0001990,li.wei,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,231616727563487,1,231616727563487,1,Version,Exists,eService Production,li.wei,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,6555BEVB-L074电动塞拉门零（部）件清单.xlsx,li.wei,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-06-0115-2021,0,P-06-0115-2021,0,Document Release,RELEASED,eService Production,xu.qiang,关于6857BEVB-L068深巴标识总成升版及重新采购车外标识一套的变更通知单,FALSE,Unassigned,li.wei,,guo.hui,Inherited,,English,False,False,False,6857BEVB-L068,xu.qiang,,,,,xu.qiang,2021/02/28,yao.cheng2,,2021/03/01,,,2021/03/01,2021/03/01,,02CS,,,,,,,
ZTENEWTZD,P-05-0046-2021,0,P-05-0046-2021,0,Document Release,RELEASED,eService Production,fu.zongxia,6118广州机场巴士座位数喷漆位置调整,FALSE,Unassigned,,,li.feng,Inherited,,English,False,False,False,6118BEVC,fu.zongxia,,,,,fu.zongxia,2021/02/24,yao.cheng2,,,,,2021/02/24,2021/02/24,,02CS,,,,,,,
ZTENEWTZD,71614129929770,1,71614129929770,1,Version,Exists,eService Production,fu.zongxia,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-05-0046-2021广州机场巴士座位数喷漆位置调整.doc,fu.zongxia,,,,,,,,,,,,,,,02CS,,,,,,,
ZTENEWTZD,161614137263125,1,161614137263125,1,Version,Exists,eService Production,lin.weipeng,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,关于6555BEVB-L031自动驾驶增加蜂鸣器功能的通知.docx,lin.weipeng,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,21629268313089,1,21629268313089,1,Version,Exists,eService Production,liang.zixin,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0744-2021关于6128BEVCF-M030乘客门5kmh电磁阀控制线束变更的技术变更通知.docx,liang.zixin,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-24-0187-2021,0,P-24-0187-2021,0,Document Release,RELEASED,eService Production,zhong.yunbing,关于6917BEVBF-M017 韩电9米改制车型高压模块图纸及BOM清单发放的通知,FALSE,Unassigned,,,zhong.yunbing,Inherited,,English,False,False,False,6917BEVBF-M017 韩电9米改制车型高压模块图纸及BOM清单发放的通知,zhong.yunbing,,,,,xie.xiongfeng,2021/06/02,meng.shuxing,,,,,2021/06/02,2021/06/03,,04GYDQ,,,,,,,
ZTENEWTZD,141622616450509,1,141622616450509,1,Version,Exists,eService Production,zhong.yunbing,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-24-0187-2021 关于6917BEVBF-M017 韩电9米改制车型高压模块图纸及BOM清单发放的通知20210602.docx,zhong.yunbing,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,11623026048189,1,11623026048189,1,Version,Exists,eService Production,chen.wenye,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,关于6126BEVBS-M019等前围骨架优化的技术通知.docx,chen.wenye,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,DOC-0002228,0,DOC-0002228,0,Document Release,IN_WORK,eService Production,zou.kailang,,FALSE,Unassigned,,,,Inherited,,English,False,False,False,DOC-0002228,zou.kailang,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,91624423287167,1,91624423287167,1,Version,Exists,eService Production,zou.kailang,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,5307-00115雨刮系统下属物料清单.docx,zou.kailang,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,81618363479484,1,81618363479484,1,Version,Exists,eService Production,zou.kailang,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0291-2021关于6706BEVB-M016深巴车侧围蒙皮总成的变更通知.docx,zou.kailang,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,DOC-0002276,0,DOC-0002276,0,Document Release,IN_WORK,eService Production,li.wei,,FALSE,Unassigned,,,,Inherited,,English,False,False,False,DOC-0002276,li.wei,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,931624451644642,1,931624451644642,1,Version,Exists,eService Production,li.wei,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,6129BEVBF-6000100-M005乘客门总成安装标准件.xls,li.wei,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,941624451644688,1,941624451644688,1,Version,Exists,eService Production,li.wei,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,6129BEVBF-6000100-M005乘客门总成零部件清单.xls,li.wei,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,341618383071517,1,341618383071517,1,Version,Exists,eService Production,chen.yukai,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0302-2021关于6555BEVB-L074、6555BEVB-M012、6555BEVB-M013左右侧围骨架总成变更的通知.docx,chen.yukai,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,351618383451877,1,351618383451877,1,Version,Exists,eService Production,yang.ping,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0298-2021关于6859BEVBF徳电车检验后内饰整改的技术通知20210414.docx,yang.ping,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-24-0091-2021,0,P-24-0091-2021,0,Document Release,RELEASED,eService Production,fu.zongxia,关于深巴样车6706BEVB-S1M016车身喷漆的技术通知,FALSE,Unassigned,,,du.zhao,Inherited,,English,False,False,False,6706BEVB-S1M016,fu.zongxia,,,,,fu.zongxia,2021/04/14,yao.cheng2,,,,,2021/04/15,2021/04/15,,02CS,,,,,,,
ZTENEWTZD,421618388586905,1,421618388586905,1,Version,Exists,eService Production,fu.zongxia,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,关于深巴样车6706BEVB-S1M016车身喷漆的技术通知.docx,fu.zongxia,,,,,,,,,,,,,,,02CS,,,,,,,
ZTENEWTZD,411618312170916,1,411618312170916,1,Version,Exists,eService Production,lin.jiawei,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,6127、6107珠海公交加装AEBS布置及线束改制方案.dwg,lin.jiawei,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,61618362251363,1,61618362251363,1,Version,Exists,eService Production,li.jun,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,关于6616BEVB-M023-6.1米样车大件BOM清单发放的通知.docx,li.jun,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,71618362251629,1,71618362251629,1,Version,Exists,eService Production,li.jun,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,6616BEVB-M023-6.1米样车大件BOM清单-无前后桥.xls,li.jun,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,101618365598609,1,101618365598609,1,Version,Exists,eService Production,chen.wenye,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,关于6605BEVB1-M018-智能驾驶前后围蒙皮总成变更的技术通知.docx,chen.wenye,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,111618365598891,1,111618365598891,1,Version,Exists,eService Production,chen.wenye,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,6605BEVB1-M018前后围蒙皮变动清单.xlsx,chen.wenye,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,131618366093950,1,131618366093950,1,Version,Exists,eService Production,guo.qingfeng,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0288-2021 关于6706BEVB-M016顶盖骨架变更的通知.docx,guo.qingfeng,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-06-0301-2021,0,P-06-0301-2021,0,Document Release,RELEASED,eService Production,li.baiyang,关于6859BEVBF-19011德电车车架底部增加封板的技术变更,FALSE,Unassigned,li.wei,,guo.hui,Inherited,,English,False,False,False,6859BEVBF-19011,li.baiyang,,,,,li.baiyang,2021/04/14,yao.cheng,,2021/04/14,,,2021/04/14,2021/04/15,,02CS,,,,,,,
ZTENEWTZD,P-06-0305-2021,0,P-06-0305-2021,0,Document Release,RELEASED,eService Production,mo.yi,关于德电6859BEVBF样车更换检修小门的通知,FALSE,Unassigned,li.wei,,guo.hui,Inherited,,English,False,False,False,6859BEVBF,mo.yi,,,,,mo.yi,2021/04/14,yao.cheng,,2021/04/14,,,2021/04/14,2021/04/15,,02CS,,,,,,,
ZTENEWTZD,P-06-0325-2021,0,P-06-0325-2021,0,Document Release,RELEASED,eService Production,yu.zhenshan,关于6859BEVBF1-L073更换前雾灯的变更通知,FALSE,Unassigned,zhu.jianming,,guo.hui,Inherited,,English,False,False,False,6859BEVBF1-L073,yu.zhenshan,,,,,yu.zhenshan,2021/04/19,yao.cheng,,2021/04/19,,,2021/04/20,2021/04/21,,05DYDQ,,,,,,,
ZTENEWTZD,61618795258052,1,61618795258052,1,Version,Exists,eService Production,shi.xiaojie,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-05-0086-2021关于双层巴士6126BEVBS样车和批量车更换随动桥电磁阀的技术通知单.docx,shi.xiaojie,,,,,,,,,,,,,,,01TY,,,,,,,
